Customer_ID,Age,Gender,Income,Marital_Status,Education,Occupation,Location,Annual_Spending,Purchase_Frequency,Average_Order_Value,Product_Category_Preference,Last_Purchase_Days,Online_Purchases,Store_Purchases
CUST-00018,28,Female,158863.8,Married,Master,Technician,Suburban,10138.11,38,183.79,Home,69,14,24
CUST-00019,34,Female,39467.0,Single,Master,Retired,Urban,339.24,10,36.82,Fashion,365,2,10
CUST-00020,39,Female,32886.25,Divorced,Master,Technician,Urban,2549.0,12,204.14,Beauty,79,4,6
CUST-00021,63,Female,46857.7,Married,High School,Service,Urban,1108.47,6,187.98,Books,181,2,3
CUST-00022,47,Male,94997.8,Single,Master,Retired,Urban,4282.76,21,168.41,Home,109,11,10
CUST-00023,35,Male,57655.26,Divorced,PhD,Service,Urban,7304.08,30,212.54,Electronics,6,23,7
CUST-00024,25,Female,78678.83,Married,Master,Professional,Suburban,5183.74,14,427.45,Fashion,28,10,5
CUST-00025,43,Female,40278.49,Married,High School,Retired,Urban,1991.84,8,229.96,Fashion,251,2,5
CUST-00026,50,Female,44752.39,Married,Master,Technician,Urban,4223.89,15,339.41,Home,84,6,11
CUST-00027,18,Male,71139.2,Divorced,Bachelor,Manager,Urban,5811.62,13,459.34,Groceries,76,8,5
CUST-00028,39,Female,121328.25,Married,,Technician,Urban,9194.39,45,217.91,Fashion,13,21,25
CUST-00029,25,Female,177322.89,Single,Bachelor,Retired,Suburban,7796.43,47,153.51,Home,15,27,19
CUST-00030,39,Female,34679.04,Single,PhD,Entrepreneur,Urban,2865.35,11,261.13,Groceries,159,4,6
CUST-00031,48,Male,80156.29,Single,High School,Student,Urban,1230.11,14,86.21,Home,223,3,9
CUST-00032,37,Male,124125.9,Married,Master,Student,Urban,8083.07,24,316.78,Beauty,65,19,5
CUST-00033,46,Female,57114.83,Single,High School,Service,Urban,4614.81,16,254.38,Fashion,48,8,8
CUST-00034,35,Female,74352.32,Single,Master,Manager,Urban,5048.13,9,597.04,Groceries,213,4,5
CUST-00035,42,Male,124294.74,Single,Bachelor,Retired,Urban,5346.93,15,368.52,Home,16,9,4
CUST-00036,29,Male,57385.9,Married,High School,Professional,Suburban,2353.96,15,159.04,Groceries,118,6,8
CUST-00037,62,Male,82145.49,Married,High School,Professional,Urban,8738.44,49,147.37,Fashion,39,28,19
CUST-00038,30,Female,61440.36,Widowed,High School,Retired,Suburban,5772.36,14,399.81,Groceries,78,6,9
CUST-00039,38,Female,103908.04,Married,Master,Technician,Suburban,4797.63,22,171.4,Fashion,1,7,16
CUST-00040,36,Male,33346.03,Single,Bachelor,Retired,Suburban,1259.5,18,72.95,,105,8,8
CUST-00041,53,Female,74600.36,Single,Bachelor,Technician,Urban,5568.52,29,218.44,Home,36,17,10
CUST-00042,68,Female,40911.07,Married,Master,Manager,Rural,640.52,13,52.96,Home,365,3,9
CUST-00043,51,Female,60791.35,Divorced,High School,Technician,Urban,1026.74,3,372.14,Home,139,1,1
CUST-00044,20,Male,84935.69,Married,Bachelor,Service,Urban,4587.98,37,120.23,Groceries,126,13,23
CUST-00045,31,Female,58194.38,Married,PhD,Retired,Rural,1885.85,5,365.9,Groceries,143,1,3
CUST-00046,35,Male,90567.13,Married,High School,Service,Urban,1200.26,14,84.75,Fashion,241,4,12
CUST-00047,23,Female,100358.5,Married,High School,Manager,Suburban,4285.22,17,258.03,Fashion,64,11,8
CUST-00048,42,Female,81017.73,Married,Master,Technician,Urban,6087.01,23,265.71,Fashion,151,15,7
CUST-00049,28,Female,,Married,Bachelor,Retired,Urban,1885.89,9,212.79,Beauty,132,3,6
CUST-00050,29,Female,155181.88,Married,High School,Service,Suburban,9821.49,61,189.16,Home,42,29,34
CUST-00051,18,Male,68202.21,Married,Bachelor,Retired,Suburban,4302.86,22,180.05,Sports,58,14,9
CUST-00052,52,Male,122406.47,Married,Bachelor,Professional,Suburban,7091.67,37,,Electronics,1,16,23
CUST-00053,75,Female,77921.28,Married,Bachelor,Technician,Suburban,1414.15,10,131.92,Groceries,254,2,10
CUST-00054,18,Female,29232.8,Single,Master,Technician,Urban,1326.07,15,90.73,Sports,176,7,8
CUST-00055,52,Female,88692.51,Married,Bachelor,Technician,Urban,120.0,5,23.12,Groceries,348,2,3
CUST-00056,29,Male,75647.44,Married,Master,Student,Urban,1775.58,11,153.02,Fashion,241,3,8
CUST-00057,33,Male,75730.64,Married,Master,Manager,Urban,3810.78,24,170.75,Sports,63,10,13
CUST-00058,36,Male,57040.8,Married,High School,Service,Urban,1242.85,11,96.14,Groceries,79,6,7
CUST-00059,24,Male,86910.0,Married,High School,Service,Suburban,10577.18,20,500.5,Home,31,10,8
CUST-00060,45,Male,186547.12,Divorced,Bachelor,Student,Urban,11229.91,48,216.81,Beauty,17,20,30
CUST-00061,36,Female,45674.79,Married,Bachelor,Student,Urban,2367.89,6,387.75,Beauty,114,3,1
CUST-00062,42,Female,79467.55,Single,Bachelor,Retired,Suburban,4561.13,31,136.71,Groceries,67,12,20
CUST-00063,35,Female,39991.37,Divorced,Master,Student,Urban,1552.59,9,179.53,Groceries,98,3,5
CUST-00064,56,Female,73607.3,Married,High School,Professional,Rural,1131.53,4,247.45,Home,191,1,5
CUST-00065,26,Male,32955.6,Married,Bachelor,Technician,Suburban,1189.0,15,92.34,Groceries,95,5,11
CUST-00066,24,Male,39822.74,Widowed,Bachelor,Professional,Suburban,1628.05,17,94.47,Fashion,67,6,10
CUST-00067,29,Female,38226.46,Single,High School,Entrepreneur,Urban,2256.26,21,114.92,Beauty,34,5,16
CUST-00068,56,Male,73531.44,Single,Bachelor,Retired,Suburban,5126.77,15,367.36,Groceries,51,6,8
CUST-00069,59,Female,95248.21,Single,Bachelor,Retired,Urban,13053.95,28,466.16,Electronics,18,12,17
CUST-00070,25,Female,57366.58,Single,High School,Manager,Urban,4074.91,25,125.6,Fashion,71,16,11
CUST-00071,48,Female,74155.43,Married,Master,Entrepreneur,Suburban,6797.56,11,686.05,Sports,69,5,8
CUST-00072,24,Female,53367.15,Married,Master,Manager,Urban,6367.87,18,416.61,Sports,97,9,11
CUST-00073,27,Male,72436.63,Married,Bachelor,Manager,Suburban,7099.74,30,250.54,Electronics,31,20,11
CUST-00074,32,Male,66613.99,Married,Master,Service,Suburban,6846.68,23,360.85,Groceries,11,12,12
CUST-00075,34,Female,132155.74,Married,Bachelor,Student,Rural,6784.09,52,148.54,Home,27,17,33
CUST-00076,29,Male,91399.36,Married,Bachelor,Retired,Rural,4149.52,26,145.74,Fashion,76,17,8
CUST-00077,47,Female,75782.75,Married,Bachelor,Technician,Suburban,5333.9,28,180.15,Fashion,123,11,15
CUST-00078,33,Male,43530.25,Divorced,Master,Student,Suburban,1548.9,12,131.15,Fashion,84,4,8
CUST-00079,18,Female,18000.0,Single,Bachelor,Service,Urban,1640.46,6,265.65,Sports,129,3,5
CUST-00080,46,Male,99257.83,Widowed,PhD,Service,Urban,746.73,9,82.38,Groceries,215,3,8
CUST-00081,47,Female,42789.66,Married,High School,Professional,Suburban,1059.79,10,106.12,Fashion,62,5,5
CUST-00082,32,Female,86661.13,Married,Bachelor,Technician,Urban,3897.15,25,128.9,Sports,122,12,15
CUST-00083,37,Female,51785.13,Single,Bachelor,Entrepreneur,Urban,1300.73,7,147.78,Groceries,224,2,4
CUST-00084,51,Female,103464.72,Married,Master,Entrepreneur,Urban,8676.14,25,386.25,Home,26,9,15
CUST-00085,31,Male,175720.13,Married,Bachelor,Retired,Urban,7887.14,42,168.94,Beauty,43,15,29
CUST-00086,63,Female,86110.92,Single,High School,Service,Urban,7646.54,35,207.54,Home,21,11,23
CUST-00087,36,Male,33677.81,Married,Bachelor,Manager,Urban,1139.0,3,389.02,Books,118,1,2
CUST-00088,33,Male,76362.63,Divorced,Bachelor,Technician,Urban,3603.16,9,373.4,Sports,90,4,7
CUST-00089,59,Male,190525.61,Single,High School,Entrepreneur,Suburban,11592.56,44,256.98,,27,18,24
CUST-00090,35,Male,60493.44,Married,Bachelor,Manager,Suburban,2095.19,20,89.15,Beauty,249,10,8
CUST-00091,23,Male,151813.73,Married,Bachelor,Manager,Suburban,10670.79,55,157.16,Electronics,60,22,31
CUST-00092,25,Male,28443.59,Married,Bachelor,Professional,Urban,1556.92,14,107.51,Groceries,119,6,10
CUST-00093,19,Female,61969.05,Single,Bachelor,Professional,Urban,3736.98,22,154.35,Groceries,105,7,14
CUST-00094,31,Male,80733.87,Married,Bachelor,Professional,Urban,3806.11,34,118.5,Home,37,17,18
CUST-00095,36,Male,104848.2,Married,Bachelor,Retired,Suburban,6149.07,25,238.22,Groceries,96,12,12
CUST-00096,23,Male,56177.78,Single,Bachelor,Retired,Urban,1059.59,13,92.76,Groceries,1,8,7
CUST-00097,46,Male,87343.27,Married,Bachelor,Retired,Urban,6713.06,27,307.25,Home,114,8,20
CUST-00098,48,Female,127404.28,Married,Bachelor,Retired,Urban,12973.81,41,351.97,Fashion,1,18,25
CUST-00099,53,Male,66639.33,Married,Bachelor,Professional,Urban,10796.57,34,282.78,Beauty,34,19,14
CUST-00100,24,Female,108432.77,Single,Bachelor,Manager,Urban,6136.78,22,222.55,Books,50,16,6
CUST-00101,31,Male,117261.52,Married,High School,Technician,Suburban,4205.82,35,135.04,Books,35,27,6
CUST-00102,41,Female,45232.99,Divorced,Bachelor,Manager,Suburban,928.8,12,79.21,Fashion,55,4,6
CUST-00103,35,Female,87295.46,Single,Bachelor,Entrepreneur,Suburban,4130.16,18,208.23,Home,49,9,7
CUST-00104,25,Female,162464.79,Divorced,Master,Student,Rural,6831.52,19,395.91,Fashion,24,17,1
CUST-00105,53,Male,52666.67,Married,Bachelor,Entrepreneur,Urban,1727.95,11,159.63,Fashion,365,4,7
CUST-00106,43,Female,69091.22,Single,High School,Professional,Urban,1314.92,10,141.95,Home,260,1,11
CUST-00107,52,Female,102948.8,Married,Master,Retired,Suburban,5133.27,23,239.77,Home,77,11,11
CUST-00108,43,Male,61686.39,Married,Bachelor,Retired,Urban,3912.92,20,170.48,Fashion,119,8,10
CUST-00109,50,Male,160402.09,Married,High School,Professional,Urban,11125.68,42,267.24,Home,17,15,27
CUST-00110,30,Female,80859.16,Widowed,Master,Technician,Urban,4771.2,19,203.99,Beauty,32,15,3
CUST-00111,42,Male,74707.61,Married,High School,Manager,Suburban,3655.46,24,129.23,Groceries,98,9,15
CUST-00112,48,Female,107998.96,Married,Master,Student,Rural,4649.64,36,124.67,Fashion,123,14,23
CUST-00113,40,Female,94316.25,Single,Bachelor,Professional,Urban,3998.42,17,221.82,Home,30,8,11
CUST-00114,31,Female,57197.26,Married,Bachelor,Student,Urban,2635.38,10,281.09,Groceries,141,3,9
CUST-00115,47,Female,155164.65,Married,High School,Retired,Rural,6285.85,42,131.4,Fashion,16,28,13
CUST-00116,29,Female,55644.87,Married,Bachelor,Student,Urban,7015.98,27,307.87,Beauty,28,24,5
CUST-00117,51,Female,57276.67,Single,High School,Service,Urban,1128.45,7,162.59,Home,259,1,4
CUST-00118,39,Female,56121.52,Married,High School,Entrepreneur,Urban,700.72,13,54.02,Groceries,260,3,12
CUST-00119,18,Male,57695.94,Married,Bachelor,Professional,Suburban,6356.71,29,253.89,Home,136,16,12
CUST-00120,48,Female,41118.5,Married,Master,Service,Urban,2768.43,21,115.65,Fashion,91,6,16
CUST-00121,18,Female,58441.19,Single,Master,Service,Urban,1673.09,15,119.85,Groceries,193,6,8
CUST-00122,18,Male,51057.82,Married,Bachelor,Retired,Suburban,1533.58,10,144.85,Groceries,185,4,7
CUST-00123,48,Female,153186.91,Single,Master,Professional,Urban,6463.47,30,210.15,Fashion,13,10,18
CUST-00124,31,Non-binary,97630.32,Divorced,High School,Service,Urban,4406.05,28,161.2,Fashion,10,13,16
CUST-00125,42,Female,152172.47,Married,Master,Retired,Suburban,11496.71,31,371.65,Electronics,31,19,13
CUST-00126,18,Non-binary,45891.05,Married,Bachelor,Student,Rural,2426.36,8,286.16,Sports,168,2,8
CUST-00127,38,Female,75313.8,Married,Bachelor,Entrepreneur,Suburban,5259.03,25,215.58,Fashion,8,13,11
CUST-00128,49,Male,105581.38,Divorced,High School,Entrepreneur,Urban,4690.15,47,101.12,Beauty,13,27,21
CUST-00129,52,Female,141333.32,Single,Master,Retired,Urban,12244.34,48,255.33,Fashion,1,16,32
CUST-00130,25,Male,42370.65,Single,High School,Manager,Suburban,2128.09,12,199.67,Sports,74,5,8
CUST-00131,43,Female,146292.14,Married,Bachelor,Manager,Suburban,8108.74,32,290.63,Fashion,40,11,21
CUST-00132,18,Male,81370.42,Divorced,PhD,Entrepreneur,Suburban,6707.41,34,220.06,Books,34,26,8
CUST-00133,44,Female,39753.27,Married,Bachelor,Entrepreneur,Urban,2042.92,10,160.4,Fashion,169,2,8
CUST-00134,27,Male,64522.36,Married,Bachelor,Service,Urban,3672.29,30,104.58,Groceries,87,15,14
CUST-00135,18,Female,18000.0,Married,Master,Manager,Suburban,2145.41,15,151.19,Fashion,89,8,6
CUST-00136,27,Female,181571.01,Married,High School,Service,Urban,10427.1,42,341.12,Fashion,34,13,29
CUST-00137,19,Female,125035.04,Married,Master,Student,Rural,6648.27,29,250.09,Electronics,45,23,4
CUST-00138,44,Male,37265.18,Divorced,Bachelor,Professional,Urban,2154.35,15,133.12,Sports,73,5,11
CUST-00139,54,Female,18000.0,Married,Bachelor,Retired,Rural,1748.91,4,461.0,Books,243,1,3
CUST-00140,48,Male,81401.44,Single,Bachelor,Professional,Urban,11956.59,33,393.44,Beauty,8,11,23
CUST-00141,30,Male,27386.87,Married,High School,Manager,Urban,1891.06,7,257.33,Sports,168,3,6
CUST-00142,20,Female,65173.72,Married,High School,Service,Suburban,1888.76,12,149.75,Beauty,182,4,9
CUST-00143,38,Female,106454.73,Married,Bachelor,Student,Rural,5800.12,29,207.91,Beauty,25,23,8
CUST-00144,27,Female,37218.94,Married,High School,Manager,Suburban,2524.05,12,255.67,Sports,154,4,8
CUST-00145,41,Male,100063.62,Single,High School,Entrepreneur,Suburban,1957.64,33,58.32,Groceries,1,6,26
CUST-00146,31,Male,78604.99,Married,High School,Service,Urban,4876.93,18,300.25,Sports,46,7,9
CUST-00147,59,Female,81774.29,Married,Bachelor,Professional,Urban,6080.61,31,181.89,Sports,75,11,19
CUST-00148,29,Male,20627.52,Single,High School,Professional,Suburban,1415.02,5,291.29,Fashion,145,2,1
CUST-00149,44,Female,95080.12,Single,Bachelor,Technician,Suburban,3869.98,32,113.77,Home,103,14,18
CUST-00150,30,Male,118092.56,Single,Bachelor,Technician,Urban,7509.28,32,263.71,Beauty,57,12,20
CUST-00151,31,Female,34560.09,Divorced,Bachelor,Technician,Suburban,1419.44,9,118.61,Fashion,216,4,6
CUST-00152,22,Male,68662.9,Single,Bachelor,Service,Urban,8460.15,23,415.43,Electronics,31,18,4
CUST-00153,18,Male,128194.6,Married,Bachelor,Entrepreneur,Urban,11379.33,43,223.4,Fashion,4,16,28
CUST-00154,28,Male,49303.85,Married,Bachelor,Entrepreneur,Urban,2045.42,10,157.02,Fashion,125,3,9
CUST-00155,27,Male,142365.71,Single,High School,Student,Suburban,9368.21,49,178.79,Electronics,23,27,23
CUST-00156,33,Female,40723.08,Married,Master,Student,Rural,1779.91,11,140.14,Sports,236,4,5
CUST-00157,34,Female,70673.86,Single,High School,Technician,Urban,6005.83,15,372.66,Fashion,33,9,5
CUST-00158,38,Male,27872.87,Married,Master,Manager,Rural,2154.82,13,173.26,Beauty,143,4,8
CUST-00159,35,Male,71809.85,Single,High School,Entrepreneur,Rural,2274.98,7,363.83,Home,258,3,3
CUST-00160,72,Female,106566.15,Married,Bachelor,Student,Suburban,1497.45,9,190.18,Home,138,1,8
CUST-00161,40,Male,112408.6,Single,Bachelor,Student,Rural,11519.76,46,267.76,Home,35,14,34
CUST-00162,23,Male,93795.16,Single,Bachelor,Student,Suburban,6220.1,29,240.94,Books,21,20,9
CUST-00163,27,Non-binary,93727.79,Married,Bachelor,Professional,Urban,4528.6,31,142.66,Home,72,13,20
CUST-00164,36,Male,160550.4,Single,Bachelor,Service,Suburban,9634.15,51,162.74,Electronics,1,20,31
CUST-00165,27,Female,35833.15,Divorced,High School,Technician,Urban,2972.74,9,277.9,Fashion,161,3,8
CUST-00166,44,Female,88348.05,Divorced,Bachelor,Entrepreneur,Urban,2907.27,16,126.4,Groceries,100,7,9
CUST-00167,49,Male,74252.83,Married,Bachelor,Entrepreneur,Suburban,2888.73,6,545.9,,170,0,5
CUST-00168,41,Male,27609.99,Married,Master,Service,Urban,1928.72,4,545.26,Groceries,178,1,1
CUST-00169,44,Male,81610.24,Married,High School,Entrepreneur,Urban,4428.81,13,365.17,Fashion,75,6,8
CUST-00170,18,Male,86928.58,Single,High School,Manager,Urban,6702.12,36,181.75,Fashion,5,23,15
CUST-00171,42,Female,63236.5,Widowed,Bachelor,Manager,Suburban,6510.66,24,286.28,Fashion,61,13,13
CUST-00172,21,Male,45565.72,Married,High School,Student,Rural,1904.79,8,248.33,Fashion,126,3,5
CUST-00173,65,Male,52632.0,Married,High School,Technician,Urban,3898.32,20,242.64,Sports,14,10,12
CUST-00174,30,Female,48989.76,Married,PhD,Retired,Rural,6348.64,24,258.61,Fashion,12,20,3
CUST-00175,47,Female,169476.09,Married,Bachelor,Service,Rural,12931.4,31,492.18,Electronics,1,16,16
CUST-00176,43,Male,150806.0,Married,Master,Professional,Rural,10168.28,42,248.03,Electronics,44,12,29
CUST-00177,37,Female,91616.76,Single,High School,Technician,Urban,2118.73,20,110.57,Fashion,1,8,10
CUST-00178,26,Female,92547.88,Married,Bachelor,Student,Urban,5251.44,41,151.47,Fashion,58,30,9
CUST-00179,31,Female,76060.09,Single,PhD,Entrepreneur,Suburban,6838.5,22,334.49,Books,58,21,3
CUST-00180,64,Female,74959.81,Married,High School,Retired,Urban,3036.11,4,668.88,Home,355,1,2
CUST-00181,26,Female,116730.09,Single,Bachelor,Retired,Suburban,12238.74,36,344.03,Electronics,18,26,12
CUST-00182,20,Male,119422.09,Divorced,Bachelor,Entrepreneur,Urban,6126.42,17,391.19,Electronics,53,9,7
CUST-00183,37,Female,,Divorced,Master,Student,Urban,2252.34,7,269.55,Sports,159,3,2
CUST-00184,50,Female,93481.61,Married,Master,Entrepreneur,Urban,3774.63,18,204.42,Fashion,15,7,12
CUST-00185,66,Female,73951.87,Single,High School,Retired,Rural,2041.01,8,285.13,Groceries,129,2,5
CUST-00186,24,Female,56166.23,Divorced,Bachelor,Student,Suburban,2127.33,7,,Fashion,22,3,6
CUST-00187,60,Female,97390.82,Married,Bachelor,Manager,Suburban,4562.15,16,238.53,Fashion,55,7,8
CUST-00188,40,Female,129135.44,Widowed,Bachelor,Student,Suburban,13540.13,40,272.96,Home,36,20,22
CUST-00189,50,Non-binary,74617.02,Married,Bachelor,Service,Urban,2494.8,9,258.62,Fashion,344,2,8
CUST-00190,41,Male,63250.28,Married,Bachelor,Retired,Urban,6135.63,21,252.78,Home,77,8,13
CUST-00191,19,Male,98983.73,Married,,Retired,Suburban,4550.49,22,227.61,Beauty,45,14,8
CUST-00192,21,Male,65892.37,Married,Master,Entrepreneur,Urban,4725.84,27,172.98,Sports,85,13,13
CUST-00193,43,Female,99642.09,Married,Master,Retired,Urban,7302.36,41,209.56,Beauty,31,17,25
CUST-00194,39,Male,58497.3,Married,Bachelor,Entrepreneur,Suburban,931.07,12,75.71,Books,258,4,6
CUST-00195,41,Female,138898.99,Single,High School,Entrepreneur,Suburban,9578.39,40,277.89,Home,4,17,25
CUST-00196,38,Male,105212.63,Divorced,High School,Entrepreneur,Suburban,8808.5,44,209.97,Beauty,36,19,25
CUST-00197,37,Male,35191.35,Single,High School,Technician,Suburban,2204.8,12,218.26,Sports,95,5,5
CUST-00198,36,Female,76831.88,Married,Bachelor,Entrepreneur,Urban,7049.61,33,177.81,Books,45,21,10
CUST-00199,46,Female,63474.62,Single,Master,Technician,Suburban,3871.4,27,151.64,Fashion,1,18,10
CUST-00200,41,Female,74061.58,Divorced,High School,Manager,Urban,4885.65,18,,Home,20,13,6
CUST-00201,46,Male,29376.13,Married,Bachelor,Service,Suburban,2352.24,11,213.04,Fashion,134,2,11
CUST-00202,30,Male,82656.41,Single,Bachelor,Student,Rural,7457.28,20,338.98,Fashion,2,11,10
CUST-00203,38,Male,36827.33,Single,High School,Technician,Suburban,2054.46,12,159.52,Groceries,89,5,7
CUST-00204,51,Female,81239.01,Married,Bachelor,Professional,Urban,8465.2,38,274.18,Fashion,1,17,19
CUST-00205,57,Male,148454.21,Single,Bachelor,Entrepreneur,Rural,12421.1,34,332.86,Home,23,11,21
CUST-00206,30,Female,98863.74,Single,Bachelor,Service,Suburban,4128.71,28,150.63,Groceries,107,14,15
CUST-00207,34,Female,107556.14,Divorced,Bachelor,Professional,Suburban,10941.78,35,347.75,Electronics,24,19,18
CUST-00208,35,Male,43556.32,Single,Bachelor,Student,Urban,1980.99,21,107.94,Sports,122,8,13
CUST-00209,30,Male,164309.48,Widowed,High School,Entrepreneur,Urban,9304.7,29,372.31,Home,57,14,14
CUST-00210,40,Male,36885.71,Single,Bachelor,Entrepreneur,Suburban,1230.74,15,79.31,Fashion,136,7,7
CUST-00211,18,Male,39973.81,Married,Master,Service,Suburban,2364.72,16,133.81,Groceries,53,6,10
CUST-00212,18,Female,45438.4,Married,Bachelor,Student,Urban,3228.57,6,540.01,Fashion,105,2,2
CUST-00213,32,Male,65954.71,Single,Bachelor,Manager,Urban,2419.5,25,120.63,Fashion,94,14,11
CUST-00214,48,Male,66404.1,Single,High School,Entrepreneur,Urban,772.54,1,668.08,Home,249,0,1
CUST-00215,44,Non-binary,49050.62,Married,High School,Technician,Urban,1948.67,1,1484.31,Home,245,0,1
CUST-00216,44,Male,60883.11,Married,High School,Service,Urban,3032.79,6,539.2,Fashion,303,2,3
CUST-00217,62,Female,171320.46,Married,Master,Service,Urban,10168.62,45,202.4,Beauty,22,25,20
CUST-00218,44,Male,142385.41,Married,Bachelor,Professional,Rural,8827.92,46,223.18,Beauty,7,19,26
CUST-00219,25,Female,94672.06,Married,Master,Manager,Urban,4387.29,23,193.59,Fashion,38,16,5
CUST-00220,40,Female,45550.8,Married,Master,Manager,Urban,4638.08,35,159.13,Sports,1,18,17
CUST-00221,28,Female,90690.61,Single,High School,Manager,Suburban,1907.55,18,95.5,Fashion,77,8,8
CUST-00222,34,Male,52913.48,Divorced,Bachelor,Student,Suburban,1538.58,12,146.09,Sports,57,7,5
CUST-00223,26,Male,38551.02,Divorced,High School,Technician,Rural,1962.14,11,175.53,Groceries,1,4,7
CUST-00224,34,Female,77405.53,Married,High School,Entrepreneur,Urban,4422.95,29,178.15,Electronics,40,27,0
CUST-00225,43,Female,82513.33,Single,Bachelor,Entrepreneur,Urban,3712.98,30,149.48,Groceries,47,9,20
CUST-00226,28,Male,122334.59,Single,Bachelor,Entrepreneur,Urban,6245.1,21,254.71,Electronics,40,14,5
CUST-00227,43,Male,153072.58,Single,Bachelor,Technician,Suburban,10830.45,14,751.28,Home,38,6,10
CUST-00228,29,Male,40623.45,Married,Master,Manager,Urban,120.0,11,15.0,Groceries,130,4,9
CUST-00229,19,Female,36255.14,Divorced,High School,Service,Urban,1657.71,15,97.95,Groceries,101,5,8
CUST-00230,28,Female,93348.47,Married,High School,Manager,Suburban,6829.64,38,205.66,Beauty,15,15,25
CUST-00231,36,Female,170323.85,Married,,Technician,Urban,9700.04,31,359.32,Electronics,16,18,14
CUST-00232,46,Female,90641.45,Single,High School,Manager,Suburban,6173.13,19,337.32,Sports,20,10,7
CUST-00233,22,Male,107389.46,Married,,Entrepreneur,Suburban,8434.56,26,345.95,Books,44,20,6
CUST-00234,30,Female,18000.0,Married,Bachelor,Service,Urban,714.48,12,73.62,Sports,79,6,7
CUST-00235,38,Male,91002.27,Married,Bachelor,Technician,Suburban,7836.81,25,366.39,Fashion,42,21,2
CUST-00236,30,Male,26732.1,Single,High School,Service,Urban,120.0,9,15.0,Groceries,272,2,8
CUST-00237,40,Female,107525.09,Single,Bachelor,Student,Urban,6623.75,14,453.27,Sports,3,9,3
CUST-00238,53,Male,54666.21,Married,Bachelor,Retired,Suburban,1836.99,10,179.5,Fashion,213,4,6
CUST-00239,36,Female,191505.62,Single,Bachelor,Service,Rural,10428.61,42,300.71,Home,19,19,21
CUST-00240,40,Female,157843.99,Single,Bachelor,Retired,Urban,7001.25,39,194.59,Fashion,1,20,18
CUST-00241,28,Male,64800.39,Divorced,Master,Technician,Suburban,1010.41,1,1074.16,Home,65,0,0
CUST-00242,52,Male,92882.05,Married,Bachelor,Retired,Urban,2163.65,8,231.85,Fashion,197,4,6
CUST-00243,52,Female,86299.01,Single,Bachelor,Retired,Urban,4141.84,15,343.96,Sports,72,9,6
CUST-00244,35,Male,41545.42,Married,High School,Technician,Urban,1228.34,14,73.53,Groceries,92,4,8
CUST-00245,35,Male,64534.76,Married,Bachelor,Student,Urban,1795.95,10,217.49,Beauty,86,4,4
CUST-00246,38,Male,87570.72,Single,Bachelor,Technician,Suburban,4905.99,47,85.26,Beauty,16,39,8
CUST-00247,18,Female,52364.93,Married,High School,Retired,Suburban,894.3,6,158.24,Groceries,176,2,3
CUST-00248,45,Female,83617.2,Divorced,High School,Professional,Urban,3197.8,28,114.19,Groceries,52,13,15
CUST-00249,53,Male,96977.05,Married,Master,Student,Urban,2630.99,33,92.64,Fashion,21,8,26
CUST-00250,31,Female,70490.21,Married,High School,Technician,Urban,5982.8,33,202.06,Fashion,13,19,12
CUST-00251,29,Male,27577.81,Single,Bachelor,Student,Urban,1764.69,14,124.8,Beauty,32,8,4
CUST-00252,19,Female,88448.25,Single,Bachelor,Retired,Urban,4447.14,22,242.06,Fashion,38,18,4
