Customer_ID,Assigned_Segment,Cluster
CUST-00211,Occasional Buyers,1
CUST-00212,Budget Shoppers,2
CUST-00213,Occasional Buyers,1
CUST-00214,At-Risk Customers,0
CUST-00215,At-Risk Customers,0
CUST-00216,Budget Shoppers,2
CUST-00217,Premium Loyalists,3
CUST-00218,Premium Loyalists,3
CUST-00219,Occasional Buyers,1
CUST-00220,Occasional Buyers,1
CUST-00221,Budget Shoppers,2
CUST-00222,Budget Shoppers,2
CUST-00223,Occasional Buyers,1
CUST-00224,Occasional Buyers,1
CUST-00225,Occasional Buyers,1
CUST-00226,Occasional Buyers,1
CUST-00227,Premium Loyalists,3
CUST-00228,Budget Shoppers,2
CUST-00229,Budget Shoppers,2
CUST-00230,Premium Loyalists,3
CUST-00231,Premium Loyalists,3
CUST-00232,Occasional Buyers,1
CUST-00233,Occasional Buyers,1
CUST-00234,Budget Shoppers,2
CUST-00235,Occasional Buyers,1
CUST-00236,Budget Shoppers,2
CUST-00237,Occasional Buyers,1
CUST-00238,Budget Shoppers,2
CUST-00239,Premium Loyalists,3
CUST-00240,Premium Loyalists,3
CUST-00241,At-Risk Customers,0
CUST-00242,Budget Shoppers,2
CUST-00243,Occasional Buyers,1
CUST-00244,Budget Shoppers,2
CUST-00245,Budget Shoppers,2
CUST-00246,Premium Loyalists,3
CUST-00247,Budget Shoppers,2
CUST-00248,Occasional Buyers,1
CUST-00249,Occasional Buyers,1
CUST-00250,Occasional Buyers,1
CUST-00251,Occasional Buyers,1
CUST-00252,Occasional Buyers,1
CUST-00253,Occasional Buyers,1
CUST-00254,Occasional Buyers,1
CUST-00255,Occasional Buyers,1
CUST-00256,Budget Shoppers,2
CUST-00257,Budget Shoppers,2
CUST-00258,Premium Loyalists,3
CUST-00259,Premium Loyalists,3
CUST-00260,Budget Shoppers,2
CUST-00261,Premium Loyalists,3
CUST-00262,Budget Shoppers,2
CUST-00263,Occasional Buyers,1
CUST-00264,Premium Loyalists,3
CUST-00265,Occasional Buyers,1
CUST-00266,Premium Loyalists,3
CUST-00267,Occasional Buyers,1
CUST-00268,Premium Loyalists,3
CUST-00269,Premium Loyalists,3
CUST-00270,Premium Loyalists,3
CUST-00271,Occasional Buyers,1
CUST-00272,Premium Loyalists,3
CUST-00273,Premium Loyalists,3
CUST-00274,Budget Shoppers,2
CUST-00275,Budget Shoppers,2
CUST-00276,Occasional Buyers,1
CUST-00277,Occasional Buyers,1
CUST-00278,Budget Shoppers,2
CUST-00279,Occasional Buyers,1
CUST-00280,Occasional Buyers,1
CUST-00281,Premium Loyalists,3
CUST-00282,Occasional Buyers,1
CUST-00283,Occasional Buyers,1
CUST-00284,Occasional Buyers,1
CUST-00285,Budget Shoppers,2
CUST-00286,Occasional Buyers,1
CUST-00287,Premium Loyalists,3
CUST-00288,Occasional Buyers,1
CUST-00289,Budget Shoppers,2
CUST-00290,Premium Loyalists,3
CUST-00291,Budget Shoppers,2
CUST-00292,Premium Loyalists,3
CUST-00293,Occasional Buyers,1
CUST-00294,Premium Loyalists,3
CUST-00295,Budget Shoppers,2
CUST-00296,Occasional Buyers,1
CUST-00297,Occasional Buyers,1
CUST-00298,Budget Shoppers,2
CUST-00299,Budget Shoppers,2
CUST-00300,At-Risk Customers,0
CUST-00301,At-Risk Customers,0
CUST-00302,Premium Loyalists,3
CUST-00303,Budget Shoppers,2
CUST-00304,Budget Shoppers,2
CUST-00305,Premium Loyalists,3
CUST-00306,Occasional Buyers,1
CUST-00307,Occasional Buyers,1
CUST-00308,Budget Shoppers,2
CUST-00309,Occasional Buyers,1
CUST-00310,Premium Loyalists,3
CUST-00311,Occasional Buyers,1
CUST-00312,Occasional Buyers,1
CUST-00313,Occasional Buyers,1
CUST-00314,Occasional Buyers,1
CUST-00315,Occasional Buyers,1
CUST-00316,Occasional Buyers,1
CUST-00317,Budget Shoppers,2
CUST-00318,Budget Shoppers,2
CUST-00319,Occasional Buyers,1
CUST-00320,Occasional Buyers,1
CUST-00321,Occasional Buyers,1
CUST-00322,Budget Shoppers,2
CUST-00323,Occasional Buyers,1
CUST-00324,At-Risk Customers,0
CUST-00325,Budget Shoppers,2
CUST-00326,Budget Shoppers,2
CUST-00327,Budget Shoppers,2
CUST-00328,Budget Shoppers,2
CUST-00329,Occasional Buyers,1
CUST-00330,Occasional Buyers,1
CUST-00331,Budget Shoppers,2
CUST-00332,Occasional Buyers,1
CUST-00333,Budget Shoppers,2
CUST-00334,Occasional Buyers,1
CUST-00335,Premium Loyalists,3
CUST-00336,Budget Shoppers,2
CUST-00337,Premium Loyalists,3
CUST-00338,Budget Shoppers,2
CUST-00339,Premium Loyalists,3
CUST-00340,Occasional Buyers,1
CUST-00341,Premium Loyalists,3
CUST-00342,Occasional Buyers,1
CUST-00343,Budget Shoppers,2
CUST-00344,Budget Shoppers,2
CUST-00345,Budget Shoppers,2
CUST-00346,Budget Shoppers,2
CUST-00347,Occasional Buyers,1
CUST-00348,Occasional Buyers,1
CUST-00349,At-Risk Customers,0
CUST-00350,Premium Loyalists,3
CUST-00351,Budget Shoppers,2
CUST-00352,Premium Loyalists,3
CUST-00353,Budget Shoppers,2
CUST-00354,Budget Shoppers,2
CUST-00355,Occasional Buyers,1
CUST-00356,Budget Shoppers,2
CUST-00357,Budget Shoppers,2
CUST-00358,Budget Shoppers,2
CUST-00359,Budget Shoppers,2
CUST-00360,Budget Shoppers,2
CUST-00361,Premium Loyalists,3
CUST-00362,Premium Loyalists,3
CUST-00363,Premium Loyalists,3
CUST-00364,Premium Loyalists,3
CUST-00365,Budget Shoppers,2
CUST-00366,Budget Shoppers,2
CUST-00367,Budget Shoppers,2
CUST-00368,Budget Shoppers,2
CUST-00369,Occasional Buyers,1
CUST-00370,Occasional Buyers,1
CUST-00371,Budget Shoppers,2
CUST-00372,Occasional Buyers,1
CUST-00373,Occasional Buyers,1
CUST-00374,Occasional Buyers,1
CUST-00375,Premium Loyalists,3
CUST-00376,Premium Loyalists,3
CUST-00377,Premium Loyalists,3
CUST-00378,Occasional Buyers,1
CUST-00379,Occasional Buyers,1
CUST-00380,Budget Shoppers,2
CUST-00381,Budget Shoppers,2
CUST-00382,Occasional Buyers,1
CUST-00383,Budget Shoppers,2
CUST-00384,Occasional Buyers,1
CUST-00385,Occasional Buyers,1
CUST-00386,Occasional Buyers,1
CUST-00387,Budget Shoppers,2
CUST-00388,Premium Loyalists,3
CUST-00389,Premium Loyalists,3
CUST-00390,Occasional Buyers,1
CUST-00391,Budget Shoppers,2
CUST-00392,Premium Loyalists,3
CUST-00393,Budget Shoppers,2
CUST-00394,Budget Shoppers,2
CUST-00395,Premium Loyalists,3
CUST-00396,Occasional Buyers,1
CUST-00397,Budget Shoppers,2
CUST-00398,Occasional Buyers,1
CUST-00399,Occasional Buyers,1
CUST-00400,Occasional Buyers,1
CUST-00401,Occasional Buyers,1
CUST-00402,Occasional Buyers,1
CUST-00403,At-Risk Customers,0
CUST-00404,Premium Loyalists,3
CUST-00405,Occasional Buyers,1
CUST-00406,Occasional Buyers,1
CUST-00407,Occasional Buyers,1
CUST-00408,Budget Shoppers,2
CUST-00409,Premium Loyalists,3
CUST-00410,Premium Loyalists,3
CUST-00411,Budget Shoppers,2
CUST-00412,Budget Shoppers,2
CUST-00413,Premium Loyalists,3
CUST-00414,Occasional Buyers,1
CUST-00415,Premium Loyalists,3
CUST-00416,Occasional Buyers,1
CUST-00417,Premium Loyalists,3
CUST-00418,Budget Shoppers,2
CUST-00419,Occasional Buyers,1
CUST-00420,Premium Loyalists,3
CUST-00421,Budget Shoppers,2
CUST-00422,Premium Loyalists,3
CUST-00423,Premium Loyalists,3
CUST-00424,Premium Loyalists,3
CUST-00425,Budget Shoppers,2
CUST-00426,Budget Shoppers,2
CUST-00427,Occasional Buyers,1
CUST-00428,At-Risk Customers,0
CUST-00429,Premium Loyalists,3
CUST-00430,Budget Shoppers,2
CUST-00431,Occasional Buyers,1
CUST-00432,Budget Shoppers,2
CUST-00433,Budget Shoppers,2
CUST-00434,At-Risk Customers,0
CUST-00435,Premium Loyalists,3
CUST-00436,Occasional Buyers,1
CUST-00437,Premium Loyalists,3
CUST-00438,Budget Shoppers,2
CUST-00439,At-Risk Customers,0
CUST-00440,Budget Shoppers,2
CUST-00441,Occasional Buyers,1
CUST-00442,Premium Loyalists,3
CUST-00443,Budget Shoppers,2
CUST-00444,Occasional Buyers,1
CUST-00445,Occasional Buyers,1
CUST-00446,Budget Shoppers,2
CUST-00447,Occasional Buyers,1
CUST-00448,Occasional Buyers,1
CUST-00449,Occasional Buyers,1
CUST-00450,Budget Shoppers,2
CUST-00451,Premium Loyalists,3
CUST-00452,Occasional Buyers,1
CUST-00453,Budget Shoppers,2
CUST-00454,Premium Loyalists,3
CUST-00455,Premium Loyalists,3
CUST-00456,Occasional Buyers,1
CUST-00457,Occasional Buyers,1
CUST-00458,Occasional Buyers,1
CUST-00459,Budget Shoppers,2
CUST-00460,Budget Shoppers,2
CUST-00461,Budget Shoppers,2
CUST-00462,Premium Loyalists,3
CUST-00463,Premium Loyalists,3
CUST-00464,Occasional Buyers,1
CUST-00465,Budget Shoppers,2
CUST-00466,Budget Shoppers,2
CUST-00467,Occasional Buyers,1
CUST-00468,Occasional Buyers,1
CUST-00469,Premium Loyalists,3
CUST-00470,Budget Shoppers,2
CUST-00471,Occasional Buyers,1
CUST-00472,Occasional Buyers,1
CUST-00473,Premium Loyalists,3
CUST-00474,Premium Loyalists,3
CUST-00475,Occasional Buyers,1
CUST-00476,Occasional Buyers,1
CUST-00477,Occasional Buyers,1
CUST-00478,Budget Shoppers,2
CUST-00479,Occasional Buyers,1
CUST-00480,Occasional Buyers,1
CUST-00481,Occasional Buyers,1
CUST-00482,Occasional Buyers,1
CUST-00483,Budget Shoppers,2
CUST-00484,Occasional Buyers,1
CUST-00485,Premium Loyalists,3
CUST-00486,Budget Shoppers,2
CUST-00487,Occasional Buyers,1
CUST-00488,Occasional Buyers,1
CUST-00489,Budget Shoppers,2
CUST-00490,Budget Shoppers,2
CUST-00491,Budget Shoppers,2
CUST-00492,Budget Shoppers,2
CUST-00493,Budget Shoppers,2
CUST-00494,Occasional Buyers,1
CUST-00495,Budget Shoppers,2
CUST-00496,Budget Shoppers,2
CUST-00497,Budget Shoppers,2
CUST-00498,Occasional Buyers,1
CUST-00499,Occasional Buyers,1
CUST-00500,Occasional Buyers,1
CUST-00501,Budget Shoppers,2
CUST-00502,Premium Loyalists,3
CUST-00503,Occasional Buyers,1
CUST-00504,Budget Shoppers,2
CUST-00505,Budget Shoppers,2
CUST-00506,Budget Shoppers,2
CUST-00507,Occasional Buyers,1
CUST-00508,Budget Shoppers,2
CUST-00509,Budget Shoppers,2
CUST-00510,Premium Loyalists,3
CUST-00511,Premium Loyalists,3
CUST-00512,Budget Shoppers,2
CUST-00513,Premium Loyalists,3
CUST-00514,Budget Shoppers,2
CUST-00515,Occasional Buyers,1
CUST-00516,Premium Loyalists,3
CUST-00517,Occasional Buyers,1
CUST-00518,Budget Shoppers,2
CUST-00519,Occasional Buyers,1
CUST-00520,Budget Shoppers,2
CUST-00521,Premium Loyalists,3
CUST-00522,Budget Shoppers,2
CUST-00523,Premium Loyalists,3
CUST-00524,Budget Shoppers,2
CUST-00525,Occasional Buyers,1
CUST-00526,Occasional Buyers,1
CUST-00527,Premium Loyalists,3
CUST-00528,Occasional Buyers,1
CUST-00529,Budget Shoppers,2
CUST-00530,Occasional Buyers,1
CUST-00531,Budget Shoppers,2
CUST-00532,At-Risk Customers,0
CUST-00533,Budget Shoppers,2
CUST-00534,Budget Shoppers,2
CUST-00535,Premium Loyalists,3
CUST-00536,Occasional Buyers,1
CUST-00537,Occasional Buyers,1
CUST-00538,Premium Loyalists,3
CUST-00539,Premium Loyalists,3
CUST-00540,Budget Shoppers,2
CUST-00541,Occasional Buyers,1
CUST-00542,Budget Shoppers,2
CUST-00543,Budget Shoppers,2
CUST-00544,Occasional Buyers,1
CUST-00545,Premium Loyalists,3
CUST-00546,Occasional Buyers,1
CUST-00547,Occasional Buyers,1
CUST-00548,Premium Loyalists,3
CUST-00549,Budget Shoppers,2
CUST-00550,Occasional Buyers,1
CUST-00551,Occasional Buyers,1
CUST-00552,Premium Loyalists,3
CUST-00553,Occasional Buyers,1
CUST-00554,Premium Loyalists,3
CUST-00555,Premium Loyalists,3
CUST-00556,Occasional Buyers,1
CUST-00557,Occasional Buyers,1
CUST-00558,Budget Shoppers,2
CUST-00559,Budget Shoppers,2
CUST-00560,Budget Shoppers,2
CUST-00561,Occasional Buyers,1
CUST-00562,Occasional Buyers,1
CUST-00563,At-Risk Customers,0
CUST-00564,Budget Shoppers,2
CUST-00565,Budget Shoppers,2
CUST-00566,Budget Shoppers,2
CUST-00567,Budget Shoppers,2
CUST-00568,Premium Loyalists,3
CUST-00569,Occasional Buyers,1
CUST-00570,Budget Shoppers,2
CUST-00571,Occasional Buyers,1
CUST-00572,Budget Shoppers,2
CUST-00573,Budget Shoppers,2
CUST-00574,Budget Shoppers,2
CUST-00575,Occasional Buyers,1
CUST-00576,Budget Shoppers,2
CUST-00577,Occasional Buyers,1
CUST-00578,Budget Shoppers,2
CUST-00579,Occasional Buyers,1
CUST-00580,Premium Loyalists,3
CUST-00581,Budget Shoppers,2
CUST-00582,Budget Shoppers,2
CUST-00583,Premium Loyalists,3
CUST-00584,Occasional Buyers,1
CUST-00585,Occasional Buyers,1
CUST-00586,Budget Shoppers,2
CUST-00587,Premium Loyalists,3
CUST-00588,Occasional Buyers,1
CUST-00589,Occasional Buyers,1
CUST-00590,Premium Loyalists,3
CUST-00591,Occasional Buyers,1
CUST-00592,Occasional Buyers,1
CUST-00593,Occasional Buyers,1
CUST-00594,Budget Shoppers,2
CUST-00595,Premium Loyalists,3
CUST-00596,Occasional Buyers,1
CUST-00597,Budget Shoppers,2
CUST-00598,Budget Shoppers,2
CUST-00599,Premium Loyalists,3
CUST-00600,Budget Shoppers,2
CUST-00601,Occasional Buyers,1
CUST-00602,Budget Shoppers,2
CUST-00603,Premium Loyalists,3
CUST-00604,At-Risk Customers,0
CUST-00605,Occasional Buyers,1
CUST-00606,Budget Shoppers,2
CUST-00607,Occasional Buyers,1
CUST-00608,Premium Loyalists,3
CUST-00609,Budget Shoppers,2
CUST-00610,Occasional Buyers,1
CUST-00611,Budget Shoppers,2
CUST-00612,Budget Shoppers,2
CUST-00613,Occasional Buyers,1
CUST-00614,Occasional Buyers,1
CUST-00615,Occasional Buyers,1
CUST-00616,Budget Shoppers,2
CUST-00617,Budget Shoppers,2
CUST-00618,Occasional Buyers,1
CUST-00619,Premium Loyalists,3
CUST-00620,Premium Loyalists,3
CUST-00621,Budget Shoppers,2
CUST-00622,At-Risk Customers,0
CUST-00623,Premium Loyalists,3
CUST-00624,Occasional Buyers,1
CUST-00625,Occasional Buyers,1
CUST-00626,Occasional Buyers,1
CUST-00627,Budget Shoppers,2
CUST-00628,Premium Loyalists,3
CUST-00629,Budget Shoppers,2
CUST-00630,Budget Shoppers,2
CUST-00631,Occasional Buyers,1
CUST-00632,Budget Shoppers,2
CUST-00633,Premium Loyalists,3
CUST-00634,Occasional Buyers,1
CUST-00635,Premium Loyalists,3
CUST-00636,Premium Loyalists,3
CUST-00637,Budget Shoppers,2
CUST-00638,Budget Shoppers,2
CUST-00639,Budget Shoppers,2
CUST-00640,Premium Loyalists,3
CUST-00641,Budget Shoppers,2
CUST-00642,Budget Shoppers,2
CUST-00643,Premium Loyalists,3
CUST-00644,Occasional Buyers,1
CUST-00645,Occasional Buyers,1
CUST-00646,Occasional Buyers,1
CUST-00647,Premium Loyalists,3
CUST-00648,Budget Shoppers,2
CUST-00649,Budget Shoppers,2
CUST-00650,Premium Loyalists,3
CUST-00651,Premium Loyalists,3
CUST-00652,Occasional Buyers,1
CUST-00653,Budget Shoppers,2
CUST-00654,Occasional Buyers,1
CUST-00655,Premium Loyalists,3
CUST-00656,Occasional Buyers,1
CUST-00657,Occasional Buyers,1
CUST-00658,Occasional Buyers,1
CUST-00659,Budget Shoppers,2
CUST-00660,Premium Loyalists,3
CUST-00661,Occasional Buyers,1
CUST-00662,Occasional Buyers,1
CUST-00663,Occasional Buyers,1
CUST-00664,Premium Loyalists,3
CUST-00665,Occasional Buyers,1
CUST-00666,At-Risk Customers,0
CUST-00667,Budget Shoppers,2
CUST-00668,Occasional Buyers,1
CUST-00669,Occasional Buyers,1
CUST-00670,Occasional Buyers,1
CUST-00671,Premium Loyalists,3
CUST-00672,Budget Shoppers,2
CUST-00673,Premium Loyalists,3
CUST-00674,Budget Shoppers,2
CUST-00675,Budget Shoppers,2
CUST-00676,Occasional Buyers,1
CUST-00677,Occasional Buyers,1
CUST-00678,Budget Shoppers,2
CUST-00679,Premium Loyalists,3
CUST-00680,Budget Shoppers,2
CUST-00681,Premium Loyalists,3
CUST-00682,Occasional Buyers,1
CUST-00683,Premium Loyalists,3
CUST-00684,Occasional Buyers,1
CUST-00685,Budget Shoppers,2
CUST-00686,Occasional Buyers,1
CUST-00687,Occasional Buyers,1
CUST-00688,Occasional Buyers,1
CUST-00689,Budget Shoppers,2
CUST-00690,Budget Shoppers,2
CUST-00691,Occasional Buyers,1
CUST-00692,Occasional Buyers,1
CUST-00693,Occasional Buyers,1
CUST-00694,Occasional Buyers,1
CUST-00695,Occasional Buyers,1
CUST-00696,Budget Shoppers,2
CUST-00697,Budget Shoppers,2
CUST-00698,Budget Shoppers,2
CUST-00699,Budget Shoppers,2
CUST-00700,Occasional Buyers,1
CUST-00701,Occasional Buyers,1
CUST-00702,Occasional Buyers,1
CUST-00703,Premium Loyalists,3
CUST-00704,Occasional Buyers,1
CUST-00705,Occasional Buyers,1
CUST-00706,Budget Shoppers,2
CUST-00707,Budget Shoppers,2
CUST-00708,Budget Shoppers,2
CUST-00709,Occasional Buyers,1
CUST-00710,Occasional Buyers,1
CUST-00711,Occasional Buyers,1
CUST-00712,Budget Shoppers,2
CUST-00713,Budget Shoppers,2
CUST-00714,Occasional Buyers,1
CUST-00715,Budget Shoppers,2
CUST-00716,Occasional Buyers,1
CUST-00717,Budget Shoppers,2
CUST-00718,Premium Loyalists,3
CUST-00719,Budget Shoppers,2
CUST-00720,Occasional Buyers,1
CUST-00721,Budget Shoppers,2
CUST-00722,Occasional Buyers,1
CUST-00723,Premium Loyalists,3
CUST-00724,Occasional Buyers,1
CUST-00725,Premium Loyalists,3
CUST-00726,Premium Loyalists,3
CUST-00727,Occasional Buyers,1
CUST-00728,Premium Loyalists,3
CUST-00729,Occasional Buyers,1
CUST-00730,Budget Shoppers,2
CUST-00731,Occasional Buyers,1
CUST-00732,Premium Loyalists,3
CUST-00733,Premium Loyalists,3
CUST-00734,Occasional Buyers,1
CUST-00735,Premium Loyalists,3
CUST-00736,Budget Shoppers,2
CUST-00737,Budget Shoppers,2
CUST-00738,Occasional Buyers,1
CUST-00739,Occasional Buyers,1
CUST-00740,Occasional Buyers,1
CUST-00741,Premium Loyalists,3
CUST-00742,Occasional Buyers,1
CUST-00743,Occasional Buyers,1
CUST-00744,Premium Loyalists,3
CUST-00745,Occasional Buyers,1
CUST-00746,Budget Shoppers,2
CUST-00747,Occasional Buyers,1
CUST-00748,Budget Shoppers,2
CUST-00749,Budget Shoppers,2
CUST-00750,Budget Shoppers,2
CUST-00751,Occasional Buyers,1
CUST-00752,Occasional Buyers,1
CUST-00753,Budget Shoppers,2
CUST-00754,Occasional Buyers,1
CUST-00755,Budget Shoppers,2
CUST-00756,Occasional Buyers,1
CUST-00757,Occasional Buyers,1
CUST-00758,Occasional Buyers,1
CUST-00759,Premium Loyalists,3
CUST-00760,Occasional Buyers,1
CUST-00761,Budget Shoppers,2
CUST-00762,Premium Loyalists,3
CUST-00763,Premium Loyalists,3
CUST-00764,Premium Loyalists,3
CUST-00765,Occasional Buyers,1
CUST-00766,Premium Loyalists,3
CUST-00767,Occasional Buyers,1
CUST-00768,Premium Loyalists,3
CUST-00769,Premium Loyalists,3
CUST-00770,Budget Shoppers,2
CUST-00771,Occasional Buyers,1
CUST-00772,Budget Shoppers,2
CUST-00773,Budget Shoppers,2
CUST-00774,Budget Shoppers,2
CUST-00775,Premium Loyalists,3
